nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
77, 2099, 478, 685, 730, 
78, 2098, 477, 677, 738, 
79, 2090, 476, 684, 742, 
80, 2106, 468, 670, 749, 
81, 2110, 481, 674, 736, 
82, 2094, 476, 668, 733, 
83, 2108, 469, 682, 736, 
84, 2090, 470, 679, 747, 
85, 2093, 478, 669, 730, 
86, 2109, 466, 676, 750, 
87, 2098, 477, 683, 741, 
88, 2102, 477, 684, 732, 
89, 2098, 466, 671, 750, 
90, 2100, 479, 676, 750, 
91, 2098, 475, 667, 740, 
92, 2090, 483, 677, 743, 
93, 2098, 482, 684, 737, 
94, 2102, 478, 681, 731, 
95, 2091, 474, 668, 740, 
96, 2104, 474, 676, 737, 
97, 2091, 475, 672, 748, 
98, 2091, 476, 679, 731, 
99, 2093, 467, 682, 750, 
100, 2108, 475, 669, 742, 
101, 2107, 473, 680, 731, 
102, 2105, 472, 670, 745, 
103, 2098, 474, 671, 732, 
104, 2106, 481, 667, 743, 
105, 2098, 480, 676, 743, 
106, 2095, 477, 676, 739, 
107, 2092, 466, 677, 734, 
108, 2106, 484, 677, 736, 
109, 2097, 476, 679, 737, 
110, 2099, 468, 668, 733, 
111, 2091, 469, 673, 731, 
112, 2091, 472, 677, 731, 
113, 2099, 472, 677, 746, 
114, 2103, 466, 670, 737, 
115, 2101, 484, 677, 731, 
116, 2096, 472, 685, 748, 
117, 2110, 478, 683, 741, 
118, 2093, 483, 674, 735, 
119, 2107, 485, 670, 743, 
120, 2098, 474, 676, 739, 
121, 2103, 468, 679, 739, 
122, 2104, 469, 674, 740, 
123, 2110, 469, 679, 746, 
124, 2109, 466, 669, 750, 
125, 2092, 470, 669, 733, 
126, 2092, 476, 678, 742, 
127, 2101, 480, 675, 748, 
128, 2091, 478, 677, 740, 
129, 2090, 483, 676, 732, 
130, 2109, 484, 683, 732, 
131, 2107, 484, 681, 741, 
132, 2102, 469, 678, 742, 
133, 2092, 467, 667, 749, 
134, 2101, 484, 670, 745, 
135, 2101, 479, 669, 733, 
136, 2096, 485, 667, 738, 
137, 2107, 484, 685, 738, 
138, 2108, 483, 679, 737, 
139, 2099, 475, 669, 731, 
140, 2094, 465, 678, 730, 
141, 2103, 466, 685, 733, 
142, 2097, 465, 680, 739, 
143, 2099, 476, 679, 732, 
144, 2102, 465, 684, 749, 
145, 2090, 475, 672, 744, 
146, 2094, 474, 682, 734, 
147, 2094, 471, 674, 737, 
148, 2106, 468, 669, 735, 
149, 2105, 471, 670, 746, 
150, 2103, 485, 665, 739, 
151, 2091, 473, 679, 746, 
152, 2106, 472, 667, 737, 
153, 2092, 472, 667, 746, 
154, 2101, 479, 665, 743, 
155, 2091, 470, 684, 736, 
156, 2108, 479, 665, 742, 
157, 2105, 478, 672, 744, 
158, 2104, 470, 677, 744, 
159, 2097, 484, 675, 735, 
160, 2105, 480, 685, 740, 
161, 2100, 478, 667, 730, 
162, 2095, 466, 668, 738, 
163, 2097, 467, 674, 734, 
164, 2105, 470, 669, 750, 
165, 2108, 481, 667, 738, 
166, 2094, 477, 680, 738, 
167, 2101, 467, 666, 747, 
168, 2095, 485, 666, 737, 
169, 2106, 472, 672, 732, 
170, 2097, 481, 668, 730, 
171, 2106, 473, 665, 750, 
172, 2109, 475, 679, 740, 
173, 2102, 479, 679, 743, 
174, 2109, 479, 676, 738, 
175, 2096, 485, 683, 749, 
176, 2108, 474, 677, 734, 
177, 2096, 467, 682, 741, 
178, 2109, 480, 679, 740, 
179, 2090, 466, 682, 745, 
180, 2099, 483, 679, 747, 
181, 2099, 470, 672, 743, 
182, 2094, 477, 674, 732, 
183, 2105, 466, 677, 744, 
184, 2102, 476, 685, 732, 
185, 2092, 465, 676, 741, 
186, 2097, 474, 669, 740, 
187, 2103, 475, 674, 736, 
188, 2090, 478, 666, 742, 
189, 2102, 473, 665, 740, 
190, 2106, 471, 681, 730, 
191, 2101, 470, 672, 750, 
192, 2100, 475, 682, 739, 
193, 2106, 479, 682, 741, 
194, 2097, 468, 667, 735, 
195, 2104, 480, 665, 731, 
196, 2092, 480, 667, 747, 
197, 2091, 466, 668, 740, 
198, 2097, 485, 671, 743, 
199, 2094, 484, 665, 732, 
