nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
138, 2097, 469, 666, 743, 
139, 2099, 469, 677, 737, 
140, 2100, 476, 682, 734, 
141, 2107, 484, 674, 732, 
142, 2099, 466, 666, 735, 
143, 2106, 483, 665, 746, 
144, 2090, 479, 674, 730, 
145, 2097, 475, 680, 749, 
146, 2101, 482, 665, 742, 
147, 2105, 466, 674, 739, 
148, 2110, 482, 682, 743, 
149, 2101, 484, 680, 737, 
150, 2090, 472, 685, 743, 
151, 2102, 482, 665, 746, 
152, 2110, 467, 670, 741, 
153, 2097, 467, 679, 736, 
154, 2095, 465, 681, 744, 
155, 2101, 479, 667, 739, 
156, 2103, 477, 678, 749, 
157, 2110, 483, 684, 731, 
158, 2108, 465, 682, 734, 
159, 2096, 481, 682, 749, 
160, 2103, 469, 670, 736, 
161, 2097, 471, 677, 744, 
162, 2101, 480, 678, 746, 
163, 2104, 481, 683, 733, 
164, 2097, 484, 678, 750, 
165, 2090, 482, 679, 734, 
166, 2105, 469, 677, 731, 
167, 2100, 485, 669, 748, 
168, 2106, 485, 671, 732, 
169, 2102, 477, 682, 740, 
170, 2104, 479, 672, 741, 
171, 2092, 470, 683, 739, 
172, 2096, 485, 667, 745, 
173, 2097, 465, 680, 734, 
174, 2095, 471, 680, 735, 
175, 2102, 483, 678, 737, 
176, 2100, 480, 677, 750, 
177, 2091, 476, 669, 736, 
178, 2101, 478, 666, 735, 
179, 2097, 475, 669, 747, 
180, 2107, 479, 665, 730, 
181, 2099, 481, 678, 733, 
182, 2108, 466, 681, 739, 
183, 2095, 477, 679, 748, 
184, 2102, 483, 669, 745, 
185, 2090, 465, 681, 744, 
186, 2091, 469, 666, 749, 
187, 2095, 479, 672, 744, 
188, 2108, 469, 668, 739, 
189, 2106, 479, 671, 748, 
190, 2095, 481, 684, 735, 
191, 2101, 469, 672, 744, 
192, 2107, 468, 667, 744, 
193, 2104, 480, 673, 735, 
194, 2097, 481, 680, 744, 
195, 2102, 471, 672, 734, 
196, 2109, 480, 678, 730, 
197, 2092, 478, 677, 735, 
198, 2109, 473, 677, 749, 
199, 2101, 481, 678, 736, 
