nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
169, 2102, 1486, 664, 496, 680, 482, 
170, 2107, 1481, 651, 503, 701, 463, 
171, 2095, 1474, 682, 477, 669, 479, 
172, 2104, 1493, 653, 500, 681, 473, 
173, 2096, 1490, 669, 486, 688, 484, 
174, 2098, 1477, 682, 468, 675, 476, 
175, 2090, 1469, 676, 476, 654, 501, 
176, 2101, 1483, 691, 476, 676, 477, 
177, 2107, 1468, 663, 497, 688, 469, 
178, 2108, 1473, 655, 481, 689, 480, 
179, 2106, 1469, 665, 485, 687, 470, 
180, 2095, 1482, 658, 489, 682, 470, 
181, 2107, 1482, 695, 472, 668, 473, 
182, 2091, 1461, 674, 492, 684, 479, 
183, 2099, 1466, 671, 482, 688, 484, 
184, 2109, 1486, 681, 472, 660, 497, 
185, 2104, 1490, 703, 478, 668, 496, 
186, 2103, 1474, 649, 491, 686, 466, 
187, 2104, 1472, 655, 498, 676, 474, 
188, 2104, 1493, 699, 482, 657, 497, 
189, 2097, 1475, 682, 475, 670, 497, 
190, 2108, 1476, 671, 475, 701, 486, 
191, 2108, 1477, 689, 472, 654, 482, 
192, 2106, 1487, 672, 495, 680, 483, 
193, 2109, 1469, 657, 491, 684, 482, 
194, 2087, 1483, 676, 471, 665, 478, 
195, 2108, 1480, 658, 488, 698, 470, 
196, 2106, 1479, 677, 479, 682, 471, 
197, 2101, 1468, 672, 481, 688, 468, 
198, 2109, 1468, 655, 485, 674, 465, 
199, 2096, 1484, 686, 484, 671, 487, 
