nbElements: 200
index, hauteurTotale, largeurTotale, hauteurInterGondsGauche, hauteurGondSommetGauche, hauteurInterGondsDroite, hauteurGondSommetDroite, 
103, 2110, 1475, 693, 468, 664, 490, 
104, 2100, 1485, 677, 484, 685, 469, 
105, 2107, 1479, 656, 481, 702, 476, 
106, 2092, 1474, 666, 492, 686, 475, 
107, 2102, 1488, 682, 476, 673, 484, 
108, 2100, 1482, 663, 493, 682, 464, 
109, 2103, 1468, 684, 477, 660, 470, 
110, 2109, 1475, 672, 479, 697, 470, 
111, 2100, 1472, 674, 475, 669, 476, 
112, 2109, 1492, 669, 484, 683, 482, 
113, 2097, 1463, 701, 469, 655, 493, 
114, 2097, 1471, 659, 498, 683, 478, 
115, 2102, 1477, 666, 479, 673, 480, 
116, 2097, 1483, 659, 484, 693, 477, 
117, 2103, 1486, 655, 495, 682, 484, 
118, 2108, 1476, 679, 485, 688, 474, 
119, 2104, 1485, 662, 475, 676, 483, 
120, 2093, 1482, 652, 489, 681, 476, 
121, 2107, 1479, 691, 478, 659, 496, 
122, 2098, 1480, 667, 484, 672, 466, 
123, 2098, 1487, 660, 483, 686, 477, 
124, 2088, 1462, 664, 481, 699, 463, 
125, 2098, 1478, 683, 472, 665, 500, 
126, 2106, 1466, 680, 487, 663, 481, 
127, 2111, 1470, 665, 491, 691, 483, 
128, 2103, 1473, 671, 467, 674, 476, 
129, 2098, 1462, 699, 482, 670, 474, 
130, 2098, 1477, 695, 468, 664, 489, 
131, 2089, 1470, 664, 476, 698, 478, 
132, 2104, 1483, 688, 485, 662, 498, 
133, 2101, 1473, 675, 476, 659, 497, 
134, 2101, 1465, 687, 471, 667, 487, 
135, 2104, 1472, 667, 475, 691, 484, 
136, 2094, 1495, 657, 484, 698, 477, 
137, 2100, 1464, 689, 471, 655, 491, 
138, 2097, 1465, 686, 474, 650, 486, 
139, 2097, 1471, 662, 485, 680, 475, 
140, 2102, 1477, 671, 477, 700, 485, 
141, 2102, 1479, 673, 483, 678, 469, 
142, 2103, 1463, 686, 472, 645, 492, 
143, 2102, 1462, 688, 486, 668, 496, 
144, 2108, 1484, 665, 482, 700, 484, 
145, 2104, 1484, 681, 464, 670, 467, 
146, 2100, 1484, 657, 486, 705, 477, 
147, 2106, 1477, 691, 481, 656, 488, 
148, 2096, 1471, 697, 478, 666, 472, 
149, 2096, 1471, 670, 469, 663, 480, 
150, 2106, 1460, 685, 479, 655, 484, 
151, 2097, 1466, 674, 476, 659, 481, 
152, 2092, 1460, 674, 469, 668, 498, 
153, 2099, 1484, 662, 472, 687, 466, 
154, 2107, 1474, 679, 463, 656, 479, 
155, 2090, 1468, 662, 481, 691, 467, 
156, 2104, 1470, 678, 480, 695, 480, 
157, 2093, 1479, 670, 473, 674, 491, 
158, 2104, 1478, 688, 480, 659, 489, 
159, 2098, 1475, 659, 485, 671, 484, 
160, 2103, 1481, 657, 488, 684, 477, 
161, 2095, 1483, 665, 480, 673, 470, 
162, 2108, 1477, 679, 478, 675, 481, 
163, 2098, 1463, 687, 476, 648, 494, 
164, 2105, 1491, 671, 488, 686, 480, 
165, 2110, 1473, 660, 501, 687, 476, 
166, 2098, 1492, 664, 477, 693, 481, 
167, 2102, 1471, 676, 483, 675, 484, 
168, 2096, 1481, 689, 475, 659, 479, 
169, 2100, 1480, 663, 486, 687, 477, 
170, 2101, 1494, 655, 491, 690, 463, 
171, 2103, 1485, 684, 472, 684, 466, 
172, 2098, 1473, 663, 491, 667, 467, 
173, 2100, 1477, 702, 477, 663, 491, 
174, 2095, 1489, 676, 485, 686, 476, 
175, 2106, 1470, 676, 488, 688, 468, 
176, 2101, 1468, 650, 485, 696, 478, 
177, 2108, 1459, 685, 484, 653, 486, 
178, 2094, 1494, 687, 469, 661, 485, 
179, 2102, 1475, 665, 493, 698, 470, 
180, 2103, 1454, 685, 468, 666, 491, 
181, 2104, 1480, 663, 472, 690, 475, 
182, 2086, 1481, 665, 470, 679, 472, 
183, 2095, 1481, 666, 480, 686, 475, 
184, 2092, 1476, 687, 467, 662, 478, 
185, 2100, 1461, 668, 497, 677, 485, 
186, 2107, 1453, 668, 498, 678, 478, 
187, 2095, 1468, 691, 477, 666, 487, 
188, 2110, 1474, 649, 502, 681, 478, 
189, 2090, 1480, 689, 482, 672, 473, 
190, 2099, 1485, 662, 486, 685, 480, 
191, 2105, 1480, 668, 485, 667, 483, 
192, 2100, 1477, 672, 486, 664, 499, 
193, 2111, 1483, 687, 468, 663, 487, 
194, 2101, 1498, 669, 485, 691, 464, 
195, 2092, 1485, 696, 470, 663, 475, 
196, 2094, 1473, 670, 473, 652, 486, 
197, 2110, 1466, 684, 473, 658, 494, 
198, 2093, 1479, 686, 472, 663, 483, 
199, 2098, 1478, 653, 490, 686, 481, 
