nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
180, 2093, 479, 665, 749, 
181, 2093, 467, 685, 747, 
182, 2101, 473, 683, 739, 
183, 2094, 474, 670, 749, 
184, 2107, 471, 670, 740, 
185, 2109, 484, 665, 732, 
186, 2090, 471, 672, 746, 
187, 2105, 472, 669, 747, 
188, 2108, 471, 676, 736, 
189, 2107, 479, 667, 748, 
190, 2095, 479, 670, 732, 
191, 2091, 481, 670, 741, 
192, 2095, 465, 683, 748, 
193, 2106, 481, 685, 743, 
194, 2096, 467, 670, 742, 
195, 2093, 472, 673, 731, 
196, 2098, 485, 681, 732, 
197, 2110, 481, 675, 732, 
198, 2091, 477, 666, 749, 
199, 2090, 465, 675, 737, 
