nbElements: 200
index, hauteurTotale, hauteurGondSommet, hauteurInterGonds, largeur, 
63, 2102, 476, 677, 747, 
64, 2102, 481, 669, 741, 
65, 2109, 481, 665, 744, 
66, 2095, 467, 684, 747, 
67, 2109, 468, 671, 745, 
68, 2096, 485, 679, 737, 
69, 2109, 479, 670, 733, 
70, 2110, 481, 681, 737, 
71, 2095, 479, 675, 750, 
72, 2100, 477, 669, 734, 
73, 2099, 485, 681, 744, 
74, 2100, 485, 676, 739, 
75, 2106, 465, 679, 736, 
76, 2103, 484, 680, 748, 
77, 2093, 468, 672, 744, 
78, 2101, 466, 681, 739, 
79, 2096, 477, 684, 739, 
80, 2096, 480, 665, 731, 
81, 2090, 483, 671, 735, 
82, 2106, 473, 674, 739, 
83, 2099, 465, 673, 731, 
84, 2092, 484, 669, 740, 
85, 2096, 476, 670, 739, 
86, 2093, 471, 683, 740, 
87, 2100, 465, 675, 747, 
88, 2101, 478, 669, 750, 
89, 2106, 483, 675, 735, 
90, 2099, 472, 681, 735, 
91, 2106, 476, 681, 742, 
92, 2101, 467, 673, 746, 
93, 2095, 467, 682, 731, 
94, 2104, 467, 666, 740, 
95, 2105, 474, 668, 742, 
96, 2091, 466, 677, 736, 
97, 2110, 465, 675, 739, 
98, 2097, 470, 666, 747, 
99, 2102, 482, 670, 738, 
100, 2096, 466, 668, 749, 
101, 2107, 478, 674, 734, 
102, 2091, 471, 671, 736, 
103, 2102, 484, 683, 739, 
104, 2093, 474, 673, 733, 
105, 2096, 478, 684, 739, 
106, 2092, 481, 684, 742, 
107, 2091, 482, 670, 747, 
108, 2091, 484, 669, 739, 
109, 2090, 477, 676, 738, 
110, 2103, 475, 680, 736, 
111, 2110, 475, 679, 742, 
112, 2104, 484, 684, 738, 
113, 2091, 484, 666, 741, 
114, 2099, 465, 676, 731, 
115, 2090, 480, 667, 744, 
116, 2110, 479, 685, 739, 
117, 2101, 473, 671, 747, 
118, 2092, 466, 671, 747, 
119, 2107, 473, 671, 730, 
120, 2102, 479, 682, 737, 
121, 2093, 482, 671, 746, 
122, 2094, 471, 667, 739, 
123, 2093, 470, 679, 732, 
124, 2106, 467, 672, 747, 
125, 2092, 466, 677, 747, 
126, 2091, 469, 683, 736, 
127, 2100, 478, 675, 738, 
128, 2092, 476, 667, 739, 
129, 2103, 481, 678, 732, 
130, 2092, 470, 682, 748, 
131, 2105, 477, 673, 741, 
132, 2109, 466, 685, 736, 
133, 2110, 465, 679, 742, 
134, 2099, 479, 669, 744, 
135, 2110, 476, 684, 734, 
136, 2092, 469, 670, 747, 
137, 2096, 474, 678, 750, 
138, 2094, 484, 672, 746, 
139, 2104, 483, 675, 750, 
140, 2099, 485, 668, 731, 
141, 2096, 483, 680, 731, 
142, 2104, 485, 683, 732, 
143, 2105, 485, 672, 738, 
144, 2108, 474, 667, 750, 
145, 2093, 474, 681, 731, 
146, 2094, 472, 680, 744, 
147, 2109, 474, 669, 742, 
148, 2109, 468, 673, 733, 
149, 2103, 475, 675, 735, 
150, 2096, 478, 681, 739, 
151, 2105, 478, 670, 742, 
152, 2108, 482, 670, 742, 
153, 2091, 466, 679, 747, 
154, 2104, 475, 680, 739, 
155, 2092, 483, 666, 733, 
156, 2097, 471, 680, 732, 
157, 2090, 482, 674, 741, 
158, 2110, 485, 681, 733, 
159, 2109, 467, 681, 737, 
160, 2096, 470, 667, 735, 
161, 2095, 483, 677, 748, 
162, 2104, 485, 685, 745, 
163, 2107, 466, 684, 731, 
164, 2110, 472, 670, 742, 
165, 2109, 474, 671, 748, 
166, 2095, 477, 685, 738, 
167, 2096, 474, 666, 734, 
168, 2091, 482, 665, 742, 
169, 2095, 480, 683, 732, 
170, 2095, 484, 682, 731, 
171, 2102, 479, 671, 738, 
172, 2107, 475, 680, 747, 
173, 2106, 478, 680, 746, 
174, 2099, 474, 675, 741, 
175, 2103, 466, 677, 743, 
176, 2096, 479, 665, 737, 
177, 2095, 477, 667, 746, 
178, 2101, 485, 676, 730, 
179, 2090, 478, 683, 738, 
180, 2096, 481, 672, 740, 
181, 2095, 465, 674, 739, 
182, 2093, 477, 681, 740, 
183, 2108, 479, 677, 738, 
184, 2091, 467, 670, 746, 
185, 2098, 472, 683, 732, 
186, 2090, 474, 680, 747, 
187, 2104, 483, 683, 735, 
188, 2110, 474, 680, 735, 
189, 2096, 480, 665, 735, 
190, 2092, 478, 681, 733, 
191, 2091, 466, 677, 737, 
192, 2107, 474, 670, 733, 
193, 2097, 471, 665, 740, 
194, 2095, 465, 665, 742, 
195, 2104, 466, 680, 747, 
196, 2103, 478, 682, 743, 
197, 2102, 470, 680, 730, 
198, 2094, 470, 684, 730, 
199, 2104, 477, 679, 734, 
